MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
4/2013	24.63	-1.04	27.43	-0.18	28.41	-0.18	27.70	-0.15	2741		24,883333		31,913333		420.6	
5/2013	23.45	-1.02	26.88	-0.41	28.70	-0.19	27.83	-0.13	2862		24,564516		31,932258		238.4	
6/2013	21.65	-1.50	26.01	-0.62	28.83	-0.06	27.49	-0.24	2927		25,483333		33,063333		32.3	
7/2013	20.63	-1.42	25.35	-0.47	28.71	-0.13	27.10	-0.21	2860		24,254839		32,183871		167.1	
8/2013	20.31	-0.80	24.76	-0.47	28.76	0.00	26.79	-0.17	2693		24,970968		33,145161		53.00	
9/2013	20.28	-0.58	24.75	-0.32	28.81	0.02	26.71	-0.17	2462		25,38		33,91		121.00	
10/2013	20.60	-0.57	24.97	-0.15	28.85	0.07	26.67	-0.16	2092		25,619355		34,287097		193.00	
11/2013	21.58	-0.27	25.06	-0.13	28.68	-0.03	26.63	-0.15	1980		24,453333		32,406667		312.2	
12/2013	22.83	-0.25	25.26	-0.10	28.53	-0.04	26.52	-0.20	2160		25,525806		33,245161		101.3	
1/2014	24.71	-0.01	25.43	-0.37	28.15	-0.20	26.12	-0.59	2275		24,996774		31,880645		253.3	
2/2014	25.74	-0.44	25.98	-0.56	28.23	0.03	26.16	-0.72	2396		24,228571		31,046429		245.4	
3/2014	26.26	-0.31	27.09	-0.20	28.44	0.12	26.89	-0.47	2562		24,403226		31,16129		527.7	
4/2014	25.56	-0.11	27.65	0.04	28.91	0.32	27.71	-0.13	2740		24,883333		31,96		255.00	
5/2014	25.16	0.68	27.67	0.38	29.16	0.28	28.01	0.05	2873		24,845161		31,493548		411.3	
6/2014	24.32	1.17	27.11	0.48	29.05	0.16	27.68	-0.05	2945		25,183333		32,336667		211.7	
7/2014	23.12	1.08	26.30	0.49	29.05	0.20	27.28	-0.03	2941		24,658065		32,470968		66.1	
8/2014	22.03	0.92	25.41	0.18	29.11	0.34	26.90	-0.06	2819		25,325806		33,996774		32.2	
9/2014	21.47	0.61	25.36	0.29	29.24	0.45	27.03	0.15	2518		26,25		35,953333		0.6	
10/2014	21.66	0.49	25.72	0.61	29.28	0.50	27.25	0.42	2119		24,741935		33,112903		190.9	
11/2014	22.39	0.55	26.03	0.84	29.37	0.66	27.52	0.74	2019		25,68		32,973333		196.00	
12/2014	23.36	0.27	26.07	0.71	29.33	0.75	27.40	0.67	2126		25,735484		32,851613		173.8	
