MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
11/1998	21.64	-0.20	24.59	-0.60	27.51	-1.20	25.57	-1.21	1698		21,97		32,026667		153.6	
12/1998	23.01	-0.07	24.45	-0.91	27.24	-1.34	25.20	-1.52	1987		21,722581		32,577419		191.00	
1/1999	24.18	-0.53	24.74	-1.06	26.88	-1.46	25.13	-1.58	2078		21,03871		30,277419		411.6	
2/1999	25.71	-0.47	25.81	-0.74	26.86	-1.34	25.64	-1.24	2391		20,796429		30,232143		260.8	
3/1999	26.18	-0.39	26.88	-0.41	27.30	-1.02	26.51	-0.85	2611		20,612903		30,374194		233.2	
4/1999	24.66	-1.01	26.95	-0.66	27.76	-0.82	26.97	-0.88	2698		20,866667		30,546667		421.2	
5/1999	23.84	-0.64	26.58	-0.71	28.20	-0.69	27.05	-0.91	2842		20,935484		30,112903		445.4	
6/1999	22.41	-0.74	25.81	-0.82	28.20	-0.70	26.70	-1.03	2923		20,983333		31,17		149.3	
7/1999	21.78	-0.27	25.11	-0.71	28.02	-0.83	26.36	-0.95	2902		21,174194		31,693548		25.3	
8/1999	20.86	-0.25	24.44	-0.79	27.96	-0.80	25.85	-1.11	2778		21,590323		32,587097		40.6	
9/1999	19.84	-1.02	24.07	-1.00	28.06	-0.73	25.88	-1.00	2479		21,953333		32,976667		98.8	
10/1999	20.22	-0.95	23.89	-1.22	28.04	-0.73	25.70	-1.13	1987		22,025806		33,532258		132.3	
11/1999	20.51	-1.33	23.80	-1.39	27.72	-0.99	25.34	-1.43	1745		22,726667		33,016667		203.5	
12/1999	22.29	-0.79	23.90	-1.46	27.43	-1.15	25.12	-1.60	1806		22,670968		32,432258		198.3	
1/2000	23.80	-0.92	24.23	-1.57	27.23	-1.11	25.00	-1.71	2045		21,816129		30,825806		350.2	
2/2000	25.47	-0.70	25.51	-1.03	26.98	-1.22	25.42	-1.45	2191		21,644828		30,534483		344.4	
3/2000	25.83	-0.74	26.81	-0.48	27.08	-1.24	26.35	-1.01	2338		21,858065		30,406452		340.7	
4/2000	25.42	-0.25	27.41	-0.21	27.52	-1.06	27.01	-0.83	2548		21,49		30,436667		535.4	
5/2000	24.21	-0.27	26.89	-0.40	27.99	-0.89	27.22	-0.74	2736		22,287097		31,458065		172.6	
6/2000	22.72	-0.43	26.06	-0.57	28.25	-0.64	27.07	-0.66	2843		21,953333		32,543333		48.2	
7/2000	21.64	-0.41	25.23	-0.59	28.38	-0.46	26.75	-0.56	2843		21,848387		31,96129		40.8	
8/2000	20.31	-0.80	24.68	-0.55	28.30	-0.47	26.43	-0.54	2735		22,454839		32,983871		140.00	
9/2000	20.57	-0.29	24.64	-0.43	28.37	-0.41	26.34	-0.53	2487		22,806667		33,28		218.1	
10/2000	20.78	-0.39	24.62	-0.49	28.27	-0.50	26.08	-0.75	2150		22,922581		33,564516		47.2	
11/2000	20.84	-1.00	24.57	-0.62	28.09	-0.62	26.02	-0.76	1983		22,546667		33,846667		169.7	
12/2000	22.18	-0.91	24.78	-0.58	27.80	-0.78	25.88	-0.84	1905		22,283871		32,332258		192.3	
1/2001	24.15	-0.57	25.40	-0.40	27.54	-0.81	25.98	-0.73	2063		20,767742		29,929032		348.4	
2/2001	25.72	-0.45	26.31	-0.23	27.52	-0.68	26.31	-0.57	2337		22,132143		31,271429		219.5	
3/2001	26.73	0.16	27.32	0.03	27.82	-0.50	26.96	-0.40	2503		23,480645		31,66129		216.8	
4/2001	26.00	0.33	27.54	-0.07	28.25	-0.33	27.46	-0.38	2655		23,49		31,413333		188.2	
5/2001	24.06	-0.41	27.22	-0.07	28.70	-0.18	27.75	-0.21	2752		24,012903		32,270968		231.6	
6/2001	22.75	-0.40	26.50	-0.13	29.00	0.11	27.66	-0.07	2811		22,536667		30,463333		164.1	
7/2001	21.48	-0.57	25.69	-0.13	29.13	0.28	27.38	0.07	2772		23,077419		32,287097		30.6	
8/2001	20.30	-0.80	24.99	-0.24	29.05	0.29	26.88	-0.08	2606		23,712903		34,525806		14.9	
9/2001	19.98	-0.88	24.51	-0.56	29.16	0.37	26.71	-0.16	2259		23,53		34,01		88.2	
10/2001	20.13	-1.04	24.64	-0.48	29.12	0.34	26.70	-0.13	1865		24,841935		35,367742		28.1	
11/2001	21.07	-0.78	24.51	-0.68	28.92	0.22	26.50	-0.27	1739		24,436667		28,546667		55.00	
12/2001	22.12	-0.97	24.70	-0.66	28.71	0.13	26.28	-0.44	1868		24,174194		31,541935		213.00	
1/2002	24.19	-0.52	25.25	-0.55	28.75	0.40	26.55	-0.16	2205		23,651613		31,848387		380.8	
2/2002	26.35	0.18	26.19	-0.36	28.70	0.50	26.85	-0.03	2272		23,685714		31,103571		239.9	
3/2002	27.15	0.58	27.35	0.07	28.70	0.38	27.40	0.04	2437		23,648387		31,583871		195.3	
4/2002	26.09	0.42	27.67	0.06	29.14	0.56	27.97	0.13	2611		23,713333		31,31		376.7	
5/2002	25.14	0.67	27.59	0.30	29.61	0.73	28.35	0.39	2760		24,041935		31,048387		262.9	
6/2002	23.66	0.51	27.27	0.64	29.63	0.73	28.50	0.77	2870		23,426667		31,386667		159.1	
7/2002	21.93	-0.12	26.35	0.54	29.61	0.77	28.09	0.79	2868		24,109677		32,680645		3.4	
8/2002	20.84	-0.27	25.76	0.53	29.48	0.71	27.82	0.86	2738		24,103226		33,996774		35.4	
9/2002	20.88	0.03	25.82	0.74	29.43	0.65	27.86	0.99	2480		24,446667		34,81		60.1	
10/2002	21.56	0.39	25.98	0.87	29.51	0.74	28.01	1.18	1969		24,219355		33,170968		216.1	
11/2002	22.63	0.79	26.35	1.16	29.66	0.96	28.14	1.37	1867		24,223333		32,95		81.2	
12/2002	23.59	0.50	26.45	1.09	29.47	0.89	28.01	1.29	2086		24,206452		30,970968		311.2	
1/2003	24.62	-0.10	26.43	0.63	28.97	0.62	27.44	0.73	2212		24,687097		32,006452		105.8	
2/2003	26.01	-0.17	26.95	0.41	28.89	0.68	27.55	0.67	2230		24,203571		31,496429		340.9	
3/2003	26.61	0.04	27.50	0.21	28.96	0.64	27.79	0.43	2321		23,829032		31,196774		209.2	
4/2003	25.14	-0.53	27.26	-0.35	29.06	0.48	27.83	-0.01	2497		23,643333		31,04		390.1	
5/2003	23.10	-1.37	26.59	-0.70	29.04	0.15	27.57	-0.39	2687		23,574194		31,47		219.6	
6/2003	22.17	-0.98	26.30	-0.33	29.18	0.29	27.65	-0.08	2808		23,67		32,283333		110.7	
7/2003	21.27	-0.78	26.05	0.23	29.18	0.33	27.57	0.26	2800		23,470968		32,774194		93.00	
