year,cheia,cheia_01,cheia_02,cheia_03,cheia_04,cheia_05,cheia_06,cheia_07,cheia_08,cheia_09,cheia_10,cheia_11,cheia_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tempMax_01,tempMax_02,tempMax_03,tempMax_04,tempMax_05,tempMax_06,tempMax_07,tempMax_08,tempMax_09,tempMax_10,tempMax_11,tempMax_12,tempMin_01,tempMin_02,tempMin_03,tempMin_04,tempMin_05,tempMin_06,tempMin_07,tempMin_08,tempMin_09,tempMin_10,tempMin_11,tempMin_12
1962,0.001834591746229818,0.0014090656635041539,0.0014912992316382548,0.0015787539787015046,0.0016870934414813517,0.001773895541178458,0.0017438737623358496,0.0017680217148831649,0.001701451683536512,0.0013979706582797119,0.0010736049173063146,0.0011767232011570124,0.0012804941323738537,0.0016119939806467558,0.001683209239081604,0.0016406131966532837,0.0015773846961737454,0.00154410653802662,0.001477550221732369,0.0013797124367798204,0.0013324574522109022,0.0013131561204855694,0.0013484309681215225,0.001422308479208141,0.001422308479208141,0.001493540650863883,0.0015009655183442772,0.0015312361319181913,0.0015546530216640495,0.0015535107343593736,0.0015832102042809498,0.0015466570105313175,0.001501536661996615,0.001482688921469461,0.001477548628598419,0.001493540650863883,0.001493540650863883,0.001503905389163066,0.0015503626645510737,0.0015825253936658482,0.0015884814546130285,0.001568230847392615,0.0015735913022450775,0.001491993267268705,0.0014455359918806975,0.001413968868860641,0.0014223073541866937,0.0014550656893961861,0.0014711470539535735,0.001493540650863883,0.0015009655183442772,0.0015312361319181913,0.0015546530216640495,0.0015535107343593736,0.0015832102042809498,0.0015466570105313175,0.001501536661996615,0.001482688921469461,0.001477548628598419,0.001493540650863883,0.001493540650863883,0.003334570488271114,0.0032795554124981107,0.0025282301239563554,0.0024551503964369936,0.002139018990875708,0.0008063403643147584,0.00027096977619538723,5.66573168408537e-05,0.00042451931603944,0.0010099782567282616,0.0011980148589971818,0.0028993766052906435,0.0001310744342703376,0.00012817861754847696,0.0001295062309579303,0.00012731302146834296,0.00012921986332301542,0.0001303707871154433,0.0001367608706635606,0.00014572007881943121,0.00014456051859645607,0.00013457902423090473,0.0001377122476779406,0.00012894713304734942,9.47466863051907e-05,9.517526547218567e-05,9.542851622168346e-05,9.674944199867193e-05,9.6178524479765e-05,9.40721316197169e-05,9.207392453087046e-05,9.463759588585538e-05,9.543897040315352e-05,9.501941658085672e-05,9.467805141220735e-05,9.431031617319399e-05
1963,0.0017765061306430324,0.0011656281959325702,0.001285715311303003,0.0014710671632878012,0.0016185654680362677,0.001728210225548402,0.001834591746229818,0.001841770867257398,0.0017752008359107451,0.0015617851471817696,0.0011930393853106039,0.0011910814432121728,0.0012426405851375215,0.0015960204647361357,0.001695854939177512,0.0017191496498804996,0.0016199807386020658,0.001590030396269653,0.0014622422689846914,0.0013916925737127855,0.0013470998417956374,0.0013391130838403273,0.0013431064628179822,0.001393689263201613,0.001393689263201613,0.001481546634164785,0.0015026789493012911,0.0015506550160976835,0.0015854947788903019,0.0015757853368005557,0.0015529395907070357,0.0015346629938322194,0.001507819242172333,0.0014855446397311512,0.001491256076254531,0.001477548628598419,0.0014746929103367288,0.0014848459941320885,0.0015372593304672764,0.0016033716069809797,0.0016391079726640625,0.00160932766792816,0.0015390461487514307,0.0014991405404053218,0.0014729338722377276,0.001441366749217671,0.0014455359918806975,0.0014371975065546449,0.0014419623553123893,0.001481546634164785,0.0015026789493012911,0.0015506550160976835,0.0015854947788903019,0.0015757853368005557,0.0015529395907070357,0.0015346629938322194,0.001507819242172333,0.0014855446397311512,0.001491256076254531,0.001477548628598419,0.0014746929103367288,0.002176790535436278,0.0014960816128121075,0.001966583678751371,0.002572570632788328,0.001997786259040537,0.0008909157793090762,0.0003883900125467217,0.0002791809815346414,0.00010510342834245324,0.0010296851495424715,0.0008835256945037474,0.001083879104781549,0.00012905622346668472,0.00012727276039906646,0.00012807439278335596,0.00012965214140177195,0.0001320971728040852,0.00013028624056089376,0.00013395174375140735,0.00013984272785137988,0.00014623735577680417,0.00014203821164328456,0.0001350067579323542,0.00013475629721915655,9.433759089169167e-05,9.475253269943779e-05,9.553760664101878e-05,9.641125578047362e-05,9.692853273784654e-05,9.274757034088284e-05,9.420122575385866e-05,9.302848472302924e-05,9.711580758350159e-05,9.855128125992152e-05,9.763718082144244e-05,9.826491362500667e-05
1964,0.0016720825520600475,0.0012915891375982957,0.0012184926325902064,0.0012759256008108481,0.0014730251053862323,0.001619870762768555,0.0017765061306430324,0.0017373472886744131,0.001553300731421902,0.0012348088167437978,0.0009463386809083017,0.0009887607597076394,0.0011591017222711338,0.0015933582120843657,0.001659248965215674,0.0016712291021486391,0.0016286330597203185,0.001477550221732369,0.0014948548639688744,0.001446268753074071,0.0014096627791122332,0.001389695884223958,0.0013970170790163253,0.0014189806633934283,0.0014189806633934283,0.0015609356018397675,0.0015540818780117116,0.0015449435795743035,0.0015449435795743035,0.0015426590049649517,0.0015774987677575699,0.001586637066194978,0.0015695027566248378,0.0015672181820154858,0.0015683604693201617,0.0015666470383631477,0.0015740719058435417,0.0015491714523616375,0.001568826453487333,0.0015920550911813368,0.0015718044839609232,0.00153011205733066,0.0015878858485183106,0.0015652528169190249,0.001530707663425378,0.001514030692773273,0.0015187955415310172,0.001528920845141224,0.0015461934218880472,0.0015609356018397675,0.0015540818780117116,0.0015449435795743035,0.0015449435795743035,0.0015426590049649517,0.0015774987677575699,0.001586637066194978,0.0015695027566248378,0.0015672181820154858,0.0015683604693201617,0.0015666470383631477,0.0015740719058435417,0.0013055816489414111,0.0011520321090973586,0.0034979734745222714,0.0024247689366817533,0.0022014241514540403,0.001005051533524709,0.00038346328934316923,4.434050883197246e-05,0.0003719676018682134,0.0006922046100991256,0.0019674047992852962,0.0015133251440245415,0.0001335017362601618,0.00013128038967722037,0.00013017441928784649,0.0001310894328291147,0.00012789711979510415,0.0001324139941079488,0.00013760633620905636,0.00014495643320210083,0.0001484778394723679,0.00014674281735317882,0.00013492221137780463,0.000131701714749835,0.00010082858497999159,9.982324189984259e-05,9.735126551059442e-05,9.725672132596937e-05,9.756945057659279e-05,9.526987729405438e-05,9.43512282509405e-05,9.740581072026209e-05,0.00010068085678522712,0.0001020695085797375,9.718626445473547e-05,9.90012887511671e-05
1965,0.0017308208150129765,0.0012693991271494115,0.001344453574255932,0.0013888335951537008,0.001572227505040068,0.0016831775572844895,0.0016720825520600475,0.0016818722625522023,0.0016061651680795382,0.0014632353948940775,0.0013281373901023407,0.0012445985272359526,0.001253735590361964,0.001590030396269653,0.0017198152130434422,0.0017537589343535102,0.0017624112554717629,0.001713159581414017,0.001426301858185796,0.0013444375891438673,0.0013031726730414316,0.0013118249941596845,0.001309828304670857,0.0013916925737127855,0.0013916925737127855,0.001472408335727377,0.001503821236605967,0.0015409455740079375,0.0015700739002771757,0.0015974887955894,0.0015232401207854595,0.0015009655183442772,0.001469552617465687,0.0014569874571142508,0.0014587008880712648,0.0014524183078955468,0.0014518471642432087,0.0014747206905218818,0.0015450022096986113,0.0016045628191704159,0.0016373211543799081,0.0016414903970429346,0.0015003317525947577,0.0014741250844271638,0.001411586444481769,0.001425285384660284,0.0014258809907550022,0.0014324326577969005,0.0014211161419972575,0.001472408335727377,0.001503821236605967,0.0015409455740079375,0.0015700739002771757,0.0015974887955894,0.0015232401207854595,0.0015009655183442772,0.001469552617465687,0.0014569874571142508,0.0014587008880712648,0.0014524183078955468,0.0014518471642432087,0.0013917993050035799,0.002033915562533255,0.004372466843152839,0.0023336245574160316,0.0022079931157254432,0.0010337907522120985,0.0005058102488980562,0.0007603576144149351,0.0003341960573076443,0.0011101549618671622,0.0018967884333677106,0.0025635383069151484,0.00012891985832885172,0.0001297789612335963,0.00012491071566737136,0.00012697483525014465,0.00012743347494460975,0.00013190671478065135,0.00013515175950073446,0.00014102910624145813,0.00014184093494022632,0.0001399518224980429,0.0001379517934309459,0.00012981986908401513,9.701035266601191e-05,9.639816797382934e-05,9.680580495926238e-05,9.725672132596937e-05,9.729672030092676e-05,9.546714976978488e-05,9.396940332861146e-05,9.632852697684686e-05,9.689035151381197e-05,9.703762738450959e-05,9.742581443506852e-05,9.5769429066266e-05
1966,0.0017138519834932417,0.0013581591689449488,0.001441045384445193,0.0014991310000319784,0.0015728801524062118,0.001646629304780445,0.0017308208150129765,0.0017001463888042247,0.001598986047051958,0.0013659909373386727,0.001162364959101852,0.0011003634593182046,0.0012824520744722846,0.0016639079073562716,0.0017171529603916722,0.0016898648707110294,0.0016266363702314912,0.0015354542169083673,0.0016086661648320433,0.0015294641484418848,0.0014795469112211966,0.0014043382738086932,0.0014183151002304857,0.001458914453169979,0.001458914453169979,0.0015797833423669219,0.0015723584748865277,0.001604913663069794,0.0016071982376791461,0.0015797833423669219,0.001604342519417456,0.001595775364632386,0.0015923485027183578,0.00159463307732771,0.0016071982376791461,0.001602629088460442,0.001593490790023034,0.0015837166058552841,0.0015974155460337992,0.001620644183727803,0.001632556305622164,0.0015724000900556412,0.0016152837288753406,0.0015771649388133856,0.001553936301119382,0.0015438109975091751,0.001556318725498254,0.0015670396352031788,0.0015735913022450775,0.0015797833423669219,0.0015723584748865277,0.001604913663069794,0.0016071982376791461,0.0015797833423669219,0.001604342519417456,0.001595775364632386,0.0015923485027183578,0.00159463307732771,0.0016071982376791461,0.001602629088460442,0.001593490790023034,0.002244122419218162,0.0014624156709211655,0.001419717403157044,0.002402598682265767,0.0029486438373261684,0.000527159382780117,0.00037525208400391506,2.791809815346414e-05,0.00011167239261385656,0.0011380730600206264,0.0006306205700547194,0.001609396246493815,0.00012920622596376656,0.00013089618476938073,0.000130242601856763,0.000130483517263952,0.00012976532387434745,0.00013254081393977317,0.0001356699453335688,0.00014235185399669712,0.0001468010022920198,0.000145215526118518,0.00013645813904301267,0.00013376082917657895,0.00010005130200341234,0.00010014237555197315,9.881037840366643e-05,9.946902142757398e-05,9.881037840366643e-05,9.632670922592405e-05,9.538760414393693e-05,9.724217509125912e-05,0.00010186450854892115,0.00010378771438922668,0.00010221678445043514,0.00010104677004598994
1967,0.001817622914710083,0.0013627277005079544,0.0015598272050833385,0.0016414081258512955,0.0017007990361703684,0.001769979656981596,0.0017138519834932417,0.0016694719625954728,0.0015330686630714485,0.001325526800637766,0.0011591017222711338,0.0011121111119087902,0.001208050274731908,0.0015827092014772854,0.0017031761339698795,0.0016885337443851443,0.001663242344193329,0.0015906959594325955,0.0014502621320517262,0.0013830402525945328,0.0013371163943514998,0.001323139567929707,0.0013637389208692,0.001397682642179268,0.001397682642179268,0.001487829214340503,0.001497538656430249,0.0015141018223480513,0.0015329495628752055,0.0015666470383631477,0.0015849236352379638,0.0015575087399257396,0.0015175286842620793,0.0015106749604340232,0.0015083903858246711,0.0015072480985199952,0.001494111794516221,0.0014937800855528592,0.001553936301119382,0.0015741869083397953,0.001583120999760566,0.001593246303370773,0.0015491714523616375,0.0015110526622996827,0.0014604261442486485,0.0014419623553123893,0.0014538744772067502,0.0014485140223542878,0.0014467272040701335,0.001487829214340503,0.001497538656430249,0.0015141018223480513,0.0015329495628752055,0.0015666470383631477,0.0015849236352379638,0.0015575087399257396,0.0015175286842620793,0.0015106749604340232,0.0015083903858246711,0.0015072480985199952,0.001494111794516221,0.0024764995303190544,0.0020462323705421363,0.003571874322575559,0.00406783112506651,0.0016775492508096248,0.0013269307828234719,0.0010034092924568582,0.0009065170694536592,0.00084903863207888,0.00024223055750799768,0.0026152689005524495,0.0018253509469161996,0.00012485617045770374,0.00012641219483892818,0.00012716074466894375,0.00012897576896537535,0.00013026987657526067,0.00013218853803825917,0.00013497448228515493,0.0001380290689818042,0.00013706405460817538,0.00014416551286627275,0.00013372446570346719,0.00013163353218091848,9.706489787567956e-05,9.727382932128247e-05,9.710580995342609e-05,9.762308691079902e-05,9.878310368516873e-05,9.798945672295642e-05,9.799218334934067e-05,9.660125725251288e-05,9.752445067293377e-05,0.00010006493936266119,9.862355588207822e-05,9.863310118808688e-05
1968,0.0017523581780957173,0.001289631195499865,0.0014129815477010158,0.0014775936369492378,0.0015833225102645104,0.0017360419939421259,0.001817622914710083,0.001794127609528911,0.0017105887466625233,0.0015200157157485754,0.0011512699538774097,0.0011597543696372772,0.0012113135115626261,0.0015434409748636775,0.0016585834020527315,0.001673891354800409,0.0016119939806467558,0.0015214773904865745,0.0014788813480582541,0.0014083316527863483,0.0013384475206773847,0.001282540214990214,0.0012951859150861218,0.0013357852680256149,0.0013357852680256149,0.001469552617465687,0.0014678391865086727,0.001500394374691939,0.0015466570105313175,0.0015597933145350916,0.0015746430494958798,0.0015426590049649517,0.0015129595350433752,0.001483260065121799,0.001489542645297517,0.001493540650863883,0.001483831208774137,0.0014514920528278781,0.0014848459941320885,0.001539641754846149,0.0015860990302341562,0.0015634659986348705,0.0015724000900556412,0.0015056922074472203,0.0014479184162595696,0.0014127776566712049,0.0014181381115236672,0.001427667809039156,0.0014371975065546449,0.001469552617465687,0.0014678391865086727,0.001500394374691939,0.0015466570105313175,0.0015597933145350916,0.0015746430494958798,0.0015426590049649517,0.0015129595350433752,0.001483260065121799,0.001489542645297517,0.001493540650863883,0.001483831208774137,0.0023172021467375236,0.0014993660949478094,0.005196050738680031,0.002484710735658309,0.003508648041463302,0.0010214739442032173,0.00028082322260249224,2.1349133882060815e-05,5.5015075773002863e-05,9.196549979964657e-05,0.0010830579842476236,0.001010799377262187,0.00012876985583176986,0.00013017253812700776,0.00012687437703402888,0.0001287784922623171,0.00012366979206762546,0.00013268172768224093,0.00013564267484239884,0.00014267912948203078,0.00014836511355118692,0.0001449837036932708,0.0001374163347370171,0.00013796088641288774,9.634216433609571e-05,9.82926575768821e-05,9.499214608968675e-05,9.780627393054161e-05,9.506032865860325e-05,9.741172052442508e-05,9.567397177885178e-05,9.75421800854228e-05,9.852491964421298e-05,0.00010104677004598994,0.00010017357745792968,0.00010050130949465792
1969,0.0017712849517138832,0.0013927494793505625,0.0014749830474846634,0.001543511020929747,0.0016551137205403125,0.0017719375990800268,0.0017523581780957173,0.001694272562508932,0.001612038994374831,0.0015043521789611279,0.0014593195106972156,0.0013888335951537008,0.0014201606687285963,0.0016359542545126861,0.0017065039497845922,0.0017950238504559457,0.0017637423817976478,0.0017164873972287296,0.0014595800163329214,0.0014243051686969683,0.0013916925737127855,0.0014043382738086932,0.001384371378920418,0.0014269674213487386,0.0014269674213487386,0.0015649336074061335,0.0015849236352379638,0.00159177735906602,0.001610625099593174,0.0016169076797688921,0.001594061933675372,0.0015740719058435417,0.0015409455740079375,0.0015278092700041633,0.0015266669826994874,0.0015535107343593736,0.0015535107343593736,0.0015581055437824082,0.001595628727749645,0.0016397035787587804,0.0016581673676950399,0.0016575717616003217,0.001570017665676769,0.0015461934218880472,0.0015045009952577842,0.0014866328124162427,0.001491993267268705,0.001503905389163066,0.0015313032695200963,0.0015649336074061335,0.0015849236352379638,0.00159177735906602,0.001610625099593174,0.0016169076797688921,0.001594061933675372,0.0015740719058435417,0.0015409455740079375,0.0015278092700041633,0.0015266669826994874,0.0015535107343593736,0.0015535107343593736,0.0021160276159257964,0.0016044695232902625,0.003174451984155658,0.004209063856901682,0.0026423658781719885,0.0010518554039584576,0.0008416485472735513,0.00034404950371474925,0.0019936806563709097,0.00030792020022203095,0.0021825383791737553,0.0016020061616884864,0.00013275172800208024,0.00013370433516882895,0.00013599722504623022,0.00013361173978228624,0.000133597193547576,0.00013130079921548862,0.00013485175450657076,0.0001383290739759679,0.00013448538469441337,0.0001401972780552112,0.0001327521803261471,0.0001327653653613291,9.87694663259199e-05,0.00010100293688478372,0.00010058312519549554,0.0001004272171215784,0.00010129222560315826,9.652398170165456e-05,9.501941658085672e-05,9.755581321734393e-05,9.835582653511383e-05,0.00010073312769257739,9.865173947603734e-05,9.87694663259199e-05
1970,0.0018430761619896853,0.0013268320953700532,0.001473677752752376,0.0016022492838826763,0.0017092834519302359,0.0018071805568517843,0.0017712849517138832,0.0017210311045208217,0.001580059273433792,0.001371212116267822,0.0011936920326767473,0.0011532278959758408,0.0011610596643695644,0.001661911217867444,0.001720480776206385,0.0017025105708069368,0.0016665701600080416,0.0015401131590489648,0.001606003912180273,0.0014915270481541617,0.0013956859526904405,0.0013863680684092453,0.0014429409372593586,0.0014855369796876793,0.0014855369796876793,0.0015415167176602753,0.0015489415851406695,0.0015637913201014576,0.001592919646370696,0.00158606592254264,0.001593490790023034,0.0015569375962734017,0.0015512261597500215,0.0015552241653163875,0.0015649336074061335,0.0015540818780117116,0.0015506550160976835,0.0015598923620665623,0.00158192978757113,0.0016045628191704159,0.0016230266081066751,0.0015807385753816938,0.0016057540313598518,0.0015390461487514307,0.0015158175110574269,0.0015146262988679907,0.0015253472085729157,0.0015313032695200963,0.0015455978157933293,0.0015415167176602753,0.0015489415851406695,0.0015637913201014576,0.001592919646370696,0.00158606592254264,0.001593490790023034,0.0015569375962734017,0.0015512261597500215,0.0015552241653163875,0.0015649336074061335,0.0015540818780117116,0.0015506550160976835,0.003175273104689583,0.0026784951816647066,0.0031440705244004173,0.0033107579927872765,0.0015149673850923923,0.000795665797373728,0.0007193015877186642,0.00042205595443766373,0.00021595470042238437,0.0006716765967509902,0.0009229394801321674,0.0014919760101424805,0.00012949259359868145,0.00012931093687157622,0.0001278834824358553,0.00012662255512130296,0.0001312107994081706,0.00013617631578540483,0.00013247899772641424,0.00013845180175455206,0.00014405323926915866,0.00014132911123562183,0.00014074182973108186,0.0001293425911015996,9.859219333766807e-05,9.913083520937568e-05,9.915129124824895e-05,9.955356798212356e-05,9.947856673358261e-05,0.00010092040253823242,9.545578671285343e-05,9.782854349300995e-05,0.00010287906720351606,0.00010286042891556558,0.00010404862505656665,0.00010018766714124536
1971,0.001889414124985885,0.0013248741532716224,0.0015226263052131501,0.0016492398942450194,0.0017725902464461706,0.001841770867257398,0.0018430761619896853,0.0018267599778360938,0.0017360419939421259,0.0015559113208864766,0.001377085942563115,0.0012119661589287698,0.0012100082168303387,0.0015560866749595851,0.0016446065756309388,0.001683209239081604,0.0016692324126598114,0.0015660701224037227,0.0014342886161411062,0.0013324574522109022,0.001283871341316099,0.0012898614097825816,0.0013324574522109022,0.001371060115661568,0.001371060115661568,0.0014255745562356606,0.0014472780150245046,0.001487258070688165,0.0015243824080901354,0.0015449435795743035,0.0015506550160976835,0.001507819242172333,0.0014678391865086727,0.0014684103301610108,0.0014626988936376308,0.0014632700372899689,0.0014495625896338567,0.0014425579614071073,0.0014842503880373706,0.0015485758462669193,0.0015849078180447203,0.0015652528169190249,0.0015128394805838366,0.0014318370517021823,0.001397291898208536,0.001414564474955359,0.0014127776566712049,0.0014151600810500772,0.0014306458395127463,0.0014255745562356606,0.0014472780150245046,0.001487258070688165,0.0015243824080901354,0.0015449435795743035,0.0015506550160976835,0.001507819242172333,0.0014678391865086727,0.0014684103301610108,0.0014626988936376308,0.0014632700372899689,0.0014495625896338567,0.0023631848966373468,0.003018439082709829,0.0028936287615531652,0.003439673916613567,0.0025980253693400155,0.001083879104781549,0.0005616464452049845,0.0003506184679861526,0.00078991795363625,0.0008112670875183108,0.0014747324789300467,0.0011774868456490464,0.00012480162524803606,0.0001251138049460549,0.00012657437203986515,0.0001272002913198343,0.0001265471015486952,0.00013159671215641215,0.00013286081842141557,0.00013973363743204455,0.00013857180290675203,0.00014299276760811562,0.00013394992600048453,0.00013551994706381467,9.529214685652273e-05,9.509977808095608e-05,9.743308543875977e-05,9.679171527594671e-05,9.718762988159145e-05,9.815854983205557e-05,9.680580495926238e-05,9.810127799600369e-05,9.817263951537126e-05,0.00010208314593898635,9.789082048509118e-05,9.958766138024566e-05
