mom,cheia,nino12,nino3,nino34,nino4,precacum,tmaxmed,tminmed
5/1977,27.39,23.87,27.02,27.95,27.95,240.3,29.658065,22.322581
6/1977,28.34,22.94,26.53,27.93,27.93,78.4,30.6,21.833333
7/1977,28.25,21.67,25.59,27.51,27.51,17.4,31.809677,22.070968
8/1977,26.73,20.29,24.76,26.91,26.91,42.9,33.53871,22.351613
9/1977,23.42,19.87,24.89,27.08,27.08,77.0,33.226667,22.536667
10/1977,20.84,20.43,25.24,27.32,27.32,190.8,32.019355,22.66129
11/1977,21.62,21.28,25.31,27.28,27.28,84.7,32.6,23.18
12/1977,22.33,22.46,25.55,27.36,27.36,227.3,30.632258,22.809677
1/1978,23.41,24.45,25.87,27.24,27.24,295.4,30.370968,22.616129
2/1978,23.44,25.76,26.45,27.13,27.13,203.5,30.439286,22.939286
3/1978,24.34,25.57,26.87,27.19,27.19,404.1,30.593548,22.564516
4/1978,25.63,24.92,26.77,27.21,27.21,229.4,30.87,23.14
5/1978,27.24,23.39,26.3,27.41,27.41,268.5,30.812903,23.274194
6/1978,28.02,22.11,25.77,27.15,27.15,89.3,30.9,22.57
7/1978,27.83,21.14,25.07,26.77,26.77,108.5,30.935484,22.26129
8/1978,26.25,19.98,24.25,26.17,26.17,50.4,31.66129,21.6
9/1978,23.14,20.0,24.3,26.12,26.12,161.0,32.453333,22.65
10/1978,20.55,20.13,24.64,26.3,26.3,115.6,32.712903,23.116129
11/1978,20.37,21.68,24.88,26.42,26.42,45.7,32.613333,23.403333
12/1978,20.76,22.93,25.25,26.57,26.57,126.0,30.825806,22.948387
1/1979,22.86,24.97,25.39,26.48,26.48,312.0,30.625926,22.592593
2/1979,22.62,25.74,26.17,26.59,26.59,86.0,30.92381,23.080952
3/1979,23.06,26.07,27.27,27.41,27.41,195.4,30864,23172
4/1979,25.54,25.63,27.76,27.93,27.93,300.2,31.409091,23.292308
5/1979,27.39,24.52,27.34,27.88,27.88,78.8,31.6,22.813636
6/1979,28.12,23.29,26.63,27.59,27.59,65.7,30.641379,22.686207
7/1979,27.66,21.92,25.66,27.05,27.05,10.3,,
8/1979,24.96,21.08,25.3,26.85,26.85,0.0,,
9/1979,21.05,21.01,25.6,27.14,27.14,83.2,32.75,23.241667
10/1979,18.0,21.4,25.5,26.92,26.92,230.1,32.830769,23.430769
11/1979,18.13,21.77,25.64,27.1,27.1,48.7,32.909524,23.92381
12/1979,19.06,22.81,25.73,27.18,27.18,154.4,31.052381,23.133333
1/1980,20.67,24.57,26.18,27.15,27.15,92.5,30.726316,22.947368
2/1980,21.08,25.84,26.57,27.1,27.1,77.7,32.586667,23.26
3/1980,20.81,26.59,27.12,27.38,27.38,217.1,31.5,23.126923
4/1980,22.96,25.73,27.51,27.86,27.86,211.4,31.273913,23.004348
5/1980,24.79,24.49,27.31,28.15,28.15,53.8,32.053571,23.332143
6/1980,25.85,22.96,26.83,28.04,28.04,79.4,31516,22796
7/1980,25.55,21.2,25.71,27.47,27.47,23.9,31.769231,22.507692
8/1980,23.31,20.66,24.98,26.74,26.74,31.2,32.521739,22.726087
9/1980,19.44,20.41,24.88,26.63,26.63,31.6,32.9,23.04
10/1980,17.88,20.7,24.69,26.57,26.57,141.1,31.809091,22.813636
11/1980,19.63,21.45,25.07,26.69,26.69,149.7,31.49375,23.05625
12/1980,20.48,22.49,25.34,26.81,26.81,190.2,31.051852,23.037037
1/1981,20.73,23.28,25.17,26.39,26.39,162.5,29.95,22.536667
2/1981,21.8,25.15,25.71,26.28,26.28,164.9,30.3375,21.8875
3/1981,23.82,26.19,26.72,26.8,26.8,197.1,31.904167,22.879167
4/1981,25.3,25.1,27.16,27.42,27.42,229.3,31.8125,23.3125
5/1981,26.22,23.92,26.83,27.52,27.52,121.1,31552,23436
6/1981,26.74,22.78,26.32,27.42,27.42,51.5,31.318182,23.204545
7/1981,26.59,21.26,25.37,26.79,26.79,34.0,31.026923,21.95
8/1981,25.14,20.24,24.57,26.45,26.45,68.0,31.67619,22.4
9/1981,21.37,20.32,24.79,26.57,26.57,155.1,30.961905,22.166667
10/1981,18.1,20.75,24.9,26.53,26.53,47.8,32584,23572
11/1981,17.34,21.5,24.85,26.45,26.45,325.9,31.486364,23.359091
12/1981,18.41,22.85,25.31,26.56,26.56,114.7,31.4125,23.308333
1/1982,21.87,24.62,26.0,26.84,26.84,299.1,29.918182,23.054545
2/1982,23.65,25.63,26.51,26.69,26.69,79.8,,
3/1982,24.86,25.66,27.24,27.52,27.52,59.5,,
4/1982,26.34,25.09,27.72,28.13,28.13,134.0,30.51,22905
5/1982,28.04,24.33,27.74,28.46,28.46,254.2,30956,23.04
6/1982,28.88,23.42,27.23,28.33,28.33,16.8,31.8,23.141667
7/1982,28.35,22.47,26.29,27.76,27.76,30.7,32.295455,22.7
8/1982,26.48,21.92,26.08,27.67,27.67,2.0,33.178947,23.036842
9/1982,23.43,22.16,26.71,28.23,28.23,67.7,33.666667,23.64
10/1982,19.52,22.78,27.21,28.67,28.67,4.2,33.742105,23.847368
11/1982,18.67,24.5,27.54,28.68,28.68,72.4,,
12/1982,20.67,25.91,28.04,28.87,28.87,238.3,30.070588,23.511765
1/1983,22.45,27.2,28.47,28.82,28.82,32.6,33.467742,24.780645
2/1983,22.8,28.16,28.63,28.68,28.68,107.5,32.85,25.060714
3/1983,23.01,29.0,28.85,28.72,28.72,418.2,32.306452,24.774194
4/1983,24.33,28.94,29.09,28.83,28.83,192.4,31.616667,23.88
5/1983,25.97,28.27,28.95,28.89,28.89,171.5,32.525806,24.190323
6/1983,26.35,27.24,28.13,28.33,28.33,99.4,31.456667,23.356667
7/1983,25.14,25.84,26.76,27.25,27.25,134.1,32.745161,23.251613
8/1983,21.46,24.01,26.0,26.76,26.76,134.6,31.764516,23.3
9/1983,18.98,22.37,25.3,26.42,26.42,99.2,32.563333,23.463333
10/1983,17.61,22.24,24.73,25.89,25.89,195.8,30.480645,23.429032
11/1983,18.16,22.38,24.42,25.74,25.74,69.5,31.423333,23.603333
12/1983,19.66,23.26,24.73,25.87,25.87,372.1,29.593548,23.06129
1/1984,22.03,24.4,25.31,26.08,26.08,268.0,29.854839,22.580645
2/1984,23.5,25.44,26.46,26.72,26.72,341.0,29.344828,22.244828
3/1984,25.21,26.06,27.12,26.98,26.98,223.4,30.367742,23.277419
4/1984,26.08,25.61,27.23,27.3,27.3,333.3,30.246667,23.3
5/1984,27.22,23.78,26.49,27.42,27.42,271.9,30.622581,22.993548
6/1984,27.93,22.46,25.65,27.07,27.07,94.2,31.38,22.806667
7/1984,27.69,21.68,25.19,26.96,26.96,93.0,31.548387,22.464516
8/1984,26.3,20.73,24.84,26.68,26.68,62.8,32.048387,22.745161
9/1984,23.57,20.78,24.68,26.47,26.47,135.5,32.066667,23.0
10/1984,20.49,20.76,24.43,26.18,26.18,123.2,32.254839,23.487097
11/1984,19.88,21.69,24.25,25.64,25.64,100.4,32.526667,23.646667
12/1984,20.44,22.68,24.18,25.45,25.45,148.1,31.280645,23.758065
1/1985,22.98,23.95,24.65,25.67,25.67,269.7,30.345161,23.170968
2/1985,23.49,25.13,25.76,26.23,26.23,318.1,30725,22.935714
3/1985,23.11,25.82,26.5,26.65,26.65,280.9,31.2,23.493548
4/1985,23.43,24.41,26.67,26.85,26.85,145.3,31.99,23.44
5/1985,24.37,23.02,26.4,27.11,27.11,346.4,30.7,23.03871
6/1985,25.8,22.23,25.78,26.97,26.97,150.9,30.546667,22.443333
7/1985,25.98,20.92,24.91,26.8,26.8,103.4,30.96129,22.93871
8/1985,24.9,20.04,24.38,26.45,26.45,63.1,32.254839,22.754839
9/1985,23.28,19.89,24.2,26.18,26.18,65.9,32.656667,23.573333
10/1985,20.83,20.28,24.34,26.38,26.38,161.7,32.825806,24.032258
11/1985,20.12,21.16,24.51,26.49,26.49,136.9,31.28,23.6
12/1985,21.21,22.71,24.62,26.37,26.37,391.4,30.648387,23.503226
1/1986,21.78,24.61,24.92,26.12,26.12,267.1,30.122581,23.090323
2/1986,22.48,26.01,26.02,26.25,26.25,294.9,29.985714,23.121429
3/1986,24.22,25.9,26.99,27.02,27.02,304.4,30.151613,23.0
4/1986,25.7,24.91,27.32,27.63,27.63,279.5,31.063333,23.403333
5/1986,26.83,23.45,26.73,27.64,27.64,203.6,31.0,23.509677
6/1986,27.62,22.17,26.25,27.57,27.57,102.8,30.563333,22.776667
7/1986,28.05,21.52,25.73,27.27,27.27,183.9,30.470968,22.277419
8/1986,27.04,21.05,25.29,27.22,27.22,1.6,33.458065,23.609677
9/1986,23.94,21.15,25.26,27.37,27.37,71.1,31.996667,23.54
10/1986,21.65,21.3,25.51,27.56,27.56,214.6,31.496774,23.535484
11/1986,22.43,22.07,25.83,27.66,27.66,321.8,31.083333,23.46
12/1986,23.22,23.5,26.09,27.69,27.69,246.9,31.358065,23.441935
1/1987,23.44,25.66,26.7,27.74,27.74,291.5,29.587097,22.83871
2/1987,24.11,27.01,27.54,27.97,27.97,289.1,30.396429,23.442857
3/1987,25.31,27.95,28.33,28.47,28.47,277.6,31.264516,23.654839
4/1987,26.27,26.91,28.5,28.66,28.66,291.2,31.065517,22.765517
5/1987,27.55,25.85,28.14,28.6,28.6,167.8,31.177419,23.419355
6/1987,27.81,24.15,27.52,28.61,28.61,28.2,31.023333,22.87
7/1987,26.9,23.15,26.98,28.54,28.54,20.7,32.941935,23.767742
8/1987,24.6,22.0,26.62,28.42,28.42,76.8,32.767742,23.748387
9/1987,21.39,21.91,26.61,28.38,28.38,64.6,33.956667,24.36
10/1987,18.58,22.6,26.26,28.07,28.07,46.3,34.035484,24.693548
11/1987,18.23,22.83,26.2,27.86,27.86,128.3,33.063333,24.133333
12/1987,19.67,23.54,26.34,27.63,27.63,195.2,31.893548,24.445161
1/1988,21.51,24.85,26.51,27.5,27.5,269.7,30.656667,22.386667
2/1988,23.4,25.83,26.6,27.11,27.11,546.0,30.844828,23.324138
3/1988,24.81,25.86,27.24,27.4,27.4,265.6,31.567742,23.787097
4/1988,25.17,25.08,27.19,27.53,27.53,254.7,30.893333,23.47
5/1988,26.56,23.69,26.13,26.96,26.96,297.7,30.432258,23.732258
6/1988,27.56,21.87,24.89,26.27,26.27,229.1,29.93,22.696667
7/1988,27.53,20.73,24.03,25.75,25.75,82.3,31.248387,23.280645
8/1988,25.98,19.81,23.8,25.73,25.73,35.6,32.887097,23.658065
9/1988,21.43,19.73,24.01,25.8,25.8,110.6,33.27,24.0
10/1988,18.09,20.01,23.63,25.01,25.01,111.5,32.890323,23.577419
11/1988,18.76,20.94,23.66,24.84,24.84,226.9,31.731818,22.603333
12/1988,21.33,22.22,23.85,24.88,24.88,412.1,31.570968,22.712903
1/1989,22.11,24.29,24.43,24.81,24.81,292.0,30.474194,22.625806
2/1989,24.16,25.98,25.58,25.43,25.43,417.0,28325,22.560714
3/1989,26.09,26.31,26.31,26.2,26.2,252.2,29.86129,22.435484
4/1989,27.4,25.39,26.8,26.79,26.79,370.8,29.883333,23.17
5/1989,28.27,23.46,26.58,27.19,27.19,555.1,29.312903,22.667742
6/1989,29.18,22.21,26.4,27.21,27.21,184.5,30.15,22.77
7/1989,29.24,21.36,25.44,26.86,26.86,157.5,29.348387,22.187097
8/1989,28.16,20.74,24.84,26.47,26.47,15.8,32.332258,23.46129
9/1989,25.55,20.18,24.76,26.5,26.5,136.4,32.686667,23.333333
10/1989,21.55,20.72,24.69,26.41,26.41,185.6,31.612903,23.280645
11/1989,21.74,21.62,24.67,26.32,26.32,326.4,31.823333,23.516667
12/1989,20.83,22.64,24.95,26.61,26.61,220.1,31.663333,24.034483
1/1990,18.9,24.27,25.49,26.68,26.68,234.3,30.525806,23.122581
2/1990,22.41,26.2,26.52,27.0,27.0,190.0,30.307143,23.114286
3/1990,24.92,26.27,26.98,27.37,27.37,299.2,30.548387,23.070968
4/1990,26.3,25.12,27.53,27.89,27.89,236.4,30.343333,22.91
5/1990,27.56,24.07,27.44,28.05,28.05,244.6,31.2,23.33871
6/1990,28.16,22.78,26.67,27.72,27.72,89.3,31.296667,23.236667
7/1990,27.78,21.4,25.9,27.51,27.51,114.1,,
8/1990,26.49,20.71,25.3,27.12,27.12,72.3,,
9/1990,23.27,20.15,25.16,27.03,27.03,22.8,,
10/1990,18.2,20.43,24.99,27.08,27.08,56.0,,
11/1990,17.35,21.32,25.02,26.89,26.89,116.9,,
12/1990,20.42,22.73,25.28,27.04,27.04,167.3,,
1/1991,22.97,24.31,25.84,27.12,27.12,278.5,29.951613,23.025806
